Cycle Time (minutes),Product Category,Waste Generated (kg),Production Volume (units),Water Usage (liters),Machine Utilization (%),Machine Age (years),Machine Type,Supplier,Operator Experience (years),Revenue ($)
30,2,500,619.47,10000,57,7.05,2,2,5.15,495539.64
20,1,300,629.29,6000,53,8.89,1,0,5.22,377529.21
10,0,100,665.06,2000,59,6.34,0,2,4.7,332477.06
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
30,2,500,660.47,10000,57,7.05,2,2,3.95,528336.05
20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
30,2,500,594.32,10000,57,7.05,2,2,6.15,475421.28
30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
30,2,500,611.77,10000,57,7.05,2,2,3.65,489383.92
10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
10,0,100,663.36,2000,59,6.34,0,2,4.92,331626.82
30,2,500,583.17,10000,57,7.05,2,2,5.08,466504.99
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
10,0,100,669.21,2000,59,6.34,0,2,5.15,334550.33
20,1,300,629.29,6000,53,8.89,1,0,5.22,377529.21
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
10,0,100,710.31,2000,59,6.34,0,2,3.95,355095.89
20,1,300,687.89,6000,53,8.89,1,0,3.82,412682.69
30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
10,0,100,642.01,2000,59,6.34,0,2,5.95,320953.18
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
20,1,300,622.99,6000,53,8.89,1,0,4.6,373751.53
10,0,100,643.76,2000,59,6.34,0,2,6.15,321827.45
20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
20,1,300,632.24,6000,53,8.89,1,0,3.65,379302.13
30,2,500,648.87,10000,57,7.05,2,2,3.9,519057.95
30,2,500,609.17,10000,57,7.05,2,2,5.58,487300.27
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
10,0,100,664.66,2000,59,6.34,0,2,4.7,332277.1
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
20,1,300,623.29,6000,53,8.89,1,0,5.03,373930.58
10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
20,1,300,600.94,6000,53,8.89,1,0,5.12,360523.79
30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
10,0,100,661.01,2000,59,6.34,0,2,3.65,330455.11
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
10,0,100,633.01,2000,59,6.34,0,2,5.08,316456.57
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
20,1,300,640.34,6000,53,8.89,1,0,5.15,384157.6
30,2,500,608.72,10000,57,7.05,2,2,5.22,486941.08
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
30,2,500,667.62,10000,57,7.05,2,2,3.82,534055.21
20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
10,0,100,613.26,2000,59,6.34,0,2,5.78,306583.26
10,0,100,652.16,2000,59,6.34,0,2,5.03,326028.51
10,0,100,651.36,2000,59,6.34,0,2,4.6,325629.56
10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
20,1,300,603.64,6000,53,8.89,1,0,5.08,362143.47
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
10,0,100,669.21,2000,59,6.34,0,2,5.15,334550.33
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
20,1,300,617.54,6000,53,8.89,1,0,5.65,370480.16
30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
30,2,500,602.72,10000,57,7.05,2,2,5.03,482142.36
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
10,0,100,629.81,2000,59,6.34,0,2,5.12,314856.98
20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
20,1,300,629.74,6000,53,8.89,1,0,5.58,377798.39
30,2,500,614.22,10000,57,7.05,2,2,4.92,491340.9
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
30,2,500,619.77,10000,57,7.05,2,2,5.15,495779.62
10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
30,2,500,596.87,10000,57,7.05,2,2,5.65,477461.91
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
30,2,500,628.77,10000,57,7.05,2,2,4.7,502979.23
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
20,1,300,584.39,6000,53,8.89,1,0,5.78,350594.97
20,1,300,623.19,6000,53,8.89,1,0,5.03,373870.59
20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.55
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
30,2,500,609.47,10000,57,7.05,2,2,5.58,487540.24
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
30,2,500,619.77,10000,57,7.05,2,2,5.15,495779.61
30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
20,1,300,613.54,6000,53,8.89,1,0,5.95,368080.17
20,1,300,584.29,6000,53,8.89,1,0,5.78,350534.98
30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
10,0,100,660.81,2000,59,6.34,0,2,3.65,330355.13
20,1,300,669.34,6000,53,8.89,1,0,3.9,401555.64
20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
10,0,100,646.41,2000,59,6.34,0,2,5.65,323153.1
10,0,100,710.31,2000,59,6.34,0,2,3.95,355095.89
20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.54
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
30,2,500,609.57,10000,57,7.05,2,2,5.58,487620.24
20,1,300,634.79,6000,53,8.89,1,0,4.92,380828.98
10,0,100,633.01,2000,59,6.34,0,2,5.08,316456.57
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
30,2,500,615.32,10000,57,7.05,2,2,4.7,492221.19
10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.64
10,0,100,677.91,2000,59,6.34,0,2,4.7,338899.82
30,2,500,592.57,10000,57,7.05,2,2,5.95,474021.91
30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
20,1,300,622.59,6000,53,8.89,1,0,4.6,373511.57
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
10,0,100,630.21,2000,59,6.34,0,2,5.12,315056.92
20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
30,2,500,609.47,10000,57,7.05,2,2,5.58,487540.25
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
10,0,100,669.11,2000,59,6.34,0,2,5.15,334500.34
30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
30,2,500,615.72,10000,57,7.05,2,2,4.7,492541.16
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
10,0,100,678.31,2000,59,6.34,0,2,4.7,339099.79
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
30,2,500,602.32,10000,57,7.05,2,2,4.6,481823.29
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
20,1,300,600.94,6000,53,8.89,1,0,5.12,360523.78
10,0,100,624.76,2000,59,6.34,0,2,6.02,312330.88
30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
20,1,300,669.34,6000,53,8.89,1,0,3.9,401555.64
10,0,100,659.01,2000,59,6.34,0,2,5.58,329451.13
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
20,1,300,604.04,6000,53,8.89,1,0,5.08,362383.44
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
10,0,100,664.96,2000,59,6.34,0,2,4.7,332427.08
10,0,100,646.41,2000,59,6.34,0,2,5.65,323153.1
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
30,2,500,628.77,10000,57,7.05,2,2,4.7,502979.23
10,0,100,642.31,2000,59,6.34,0,2,5.95,321103.13
10,0,100,613.26,2000,59,6.34,0,2,5.78,306583.26
10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
20,1,300,622.89,6000,53,8.89,1,0,4.6,373691.54
30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
30,2,500,575.32,10000,57,7.05,2,2,6.02,460224.22
10,0,100,661.11,2000,59,6.34,0,2,3.65,330505.09
10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.16
20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
10,0,100,689.56,2000,59,6.34,0,2,4.3,344723.75
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
20,1,300,688.29,6000,53,8.89,1,0,3.82,412922.63
30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
10,0,100,612.86,2000,59,6.34,0,2,5.78,306383.31
20,1,300,623.29,6000,53,8.89,1,0,5.03,373930.58
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
20,1,300,630.04,6000,53,8.89,1,0,5.58,377978.34
30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
10,0,100,632.91,2000,59,6.34,0,2,5.08,316406.58
10,0,100,689.56,2000,59,6.34,0,2,4.3,344723.75
10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
10,0,100,658.06,2000,59,6.34,0,2,5.22,328977.07
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
20,1,300,617.24,6000,53,8.89,1,0,5.65,370300.19
20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.52
30,2,500,667.32,10000,57,7.05,2,2,3.82,533815.26
20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
10,0,100,624.86,2000,59,6.34,0,2,6.02,312380.87
10,0,100,661.21,2000,59,6.34,0,2,3.65,330555.08
10,0,100,698.21,2000,59,6.34,0,2,3.9,349048.17
10,0,100,659.01,2000,59,6.34,0,2,5.58,329451.13
30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
30,2,500,583.47,10000,57,7.05,2,2,5.08,466744.96
30,2,500,640.02,10000,57,7.05,2,2,4.3,511978.4
20,1,300,640.44,6000,53,8.89,1,0,5.15,384217.59
10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
20,1,300,649.34,6000,53,8.89,1,0,4.7,389557.12
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
20,1,300,584.39,6000,53,8.89,1,0,5.78,350594.96
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
20,1,300,614.99,6000,53,8.89,1,0,6.15,368949.52
20,1,300,601.34,6000,53,8.89,1,0,5.12,360763.75
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
30,2,500,611.37,10000,57,7.05,2,2,3.65,489063.94
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
20,1,300,634.89,6000,53,8.89,1,0,4.92,380888.97
20,1,300,604.14,6000,53,8.89,1,0,5.08,362443.43
10,0,100,689.66,2000,59,6.34,0,2,4.3,344773.73
20,1,300,640.44,6000,53,8.89,1,0,5.15,384217.59
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
20,1,300,636.09,6000,53,8.89,1,0,4.7,381609.25
30,2,500,597.07,10000,57,7.05,2,2,5.65,477621.9
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
20,1,300,649.04,6000,53,8.89,1,0,4.7,389377.15
10,0,100,642.31,2000,59,6.34,0,2,5.95,321103.14
20,1,300,584.29,6000,53,8.89,1,0,5.78,350534.97
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
30,2,500,602.42,10000,57,7.05,2,2,4.6,481903.28
10,0,100,643.76,2000,59,6.34,0,2,6.15,321827.45
30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
10,0,100,658.91,2000,59,6.34,0,2,5.58,329401.14
30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
30,2,500,583.47,10000,57,7.05,2,2,5.08,466744.96
10,0,100,689.66,2000,59,6.34,0,2,4.3,344773.73
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
10,0,100,665.06,2000,59,6.34,0,2,4.7,332477.06
10,0,100,646.51,2000,59,6.34,0,2,5.65,323203.09
20,1,300,681.34,6000,53,8.89,1,0,3.95,408753.51
30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
30,2,500,628.87,10000,57,7.05,2,2,4.7,503059.22
30,2,500,592.57,10000,57,7.05,2,2,5.95,474021.91
30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
20,1,300,601.24,6000,53,8.89,1,0,5.12,360703.76
30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
20,1,300,669.44,6000,53,8.89,1,0,3.9,401615.63
10,0,100,659.01,2000,59,6.34,0,2,5.58,329451.13
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
10,0,100,689.66,2000,59,6.34,0,2,4.3,344773.73
10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
30,2,500,608.82,10000,57,7.05,2,2,5.22,487021.07
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
10,0,100,717.16,2000,59,6.34,0,2,3.82,358519.95
10,0,100,677.91,2000,59,6.34,0,2,4.7,338899.83
30,2,500,592.57,10000,57,7.05,2,2,5.95,474021.91
30,2,500,563.82,10000,57,7.05,2,2,5.78,451026.27
20,1,300,623.29,6000,53,8.89,1,0,5.03,373930.58
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
10,0,100,643.46,2000,59,6.34,0,2,6.15,321677.49
10,0,100,630.21,2000,59,6.34,0,2,5.12,315056.92
30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
30,2,500,648.87,10000,57,7.05,2,2,3.9,519057.95
20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
10,0,100,663.56,2000,59,6.34,0,2,4.92,331726.81
30,2,500,583.47,10000,57,7.05,2,2,5.08,466744.96
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
20,1,300,640.34,6000,53,8.89,1,0,5.15,384157.6
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
30,2,500,615.62,10000,57,7.05,2,2,4.7,492461.17
30,2,500,596.97,10000,57,7.05,2,2,5.65,477541.91
10,0,100,710.21,2000,59,6.34,0,2,3.95,355045.91
20,1,300,688.19,6000,53,8.89,1,0,3.82,412862.65
10,0,100,678.21,2000,59,6.34,0,2,4.7,339049.8
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
30,2,500,602.72,10000,57,7.05,2,2,5.03,482142.36
20,1,300,622.79,6000,53,8.89,1,0,4.6,373631.56
20,1,300,614.59,6000,53,8.89,1,0,6.15,368709.56
30,2,500,580.77,10000,57,7.05,2,2,5.12,464585.24
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
20,1,300,632.34,6000,53,8.89,1,0,3.65,379362.11
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
30,2,500,640.22,10000,57,7.05,2,2,4.3,512138.38
20,1,300,640.44,6000,53,8.89,1,0,5.15,384217.59
10,0,100,658.26,2000,59,6.34,0,2,5.22,329077.04
30,2,500,615.72,10000,57,7.05,2,2,4.7,492541.16
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
20,1,300,681.44,6000,53,8.89,1,0,3.95,408813.5
10,0,100,717.06,2000,59,6.34,0,2,3.82,358469.96
10,0,100,678.21,2000,59,6.34,0,2,4.7,339049.8
10,0,100,642.31,2000,59,6.34,0,2,5.95,321103.14
20,1,300,584.39,6000,53,8.89,1,0,5.78,350594.96
20,1,300,623.39,6000,53,8.89,1,0,5.03,373990.57
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
30,2,500,594.22,10000,57,7.05,2,2,6.15,475341.29
10,0,100,630.21,2000,59,6.34,0,2,5.12,315056.92
20,1,300,595.89,6000,53,8.89,1,0,6.02,357492.74
10,0,100,660.81,2000,59,6.34,0,2,3.65,330355.12
30,2,500,648.77,10000,57,7.05,2,2,3.9,518977.96
30,2,500,609.47,10000,57,7.05,2,2,5.58,487540.25
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
20,1,300,604.14,6000,53,8.89,1,0,5.08,362443.43
20,1,300,660.39,6000,53,8.89,1,0,4.3,396186.21
10,0,100,669.31,2000,59,6.34,0,2,5.15,334600.32
10,0,100,658.06,2000,59,6.34,0,2,5.22,328977.07
20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
30,2,500,660.77,10000,57,7.05,2,2,3.95,528576.0
20,1,300,688.09,6000,53,8.89,1,0,3.82,412802.66
20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
10,0,100,642.41,2000,59,6.34,0,2,5.95,321153.12
10,0,100,613.36,2000,59,6.34,0,2,5.78,306633.25
30,2,500,602.72,10000,57,7.05,2,2,5.03,482142.36
10,0,100,651.86,2000,59,6.34,0,2,4.6,325879.51
30,2,500,594.42,10000,57,7.05,2,2,6.15,475501.27
