operator_experience_years,operator_training_level,factory,date,key_point
6.967424726230802,Beginner,Factory 1,2023-04-28,Factory 1_City A_Type B_2023-04-28
4.255392293736225,Advanced,Factory 1,2023-04-29,Factory 1_City E_Type B_2023-04-29
2.069869520593648,Advanced,Factory 1,2023-04-30,Factory 1_City C_Type B_2023-04-30
2.0664312289156053,Advanced,Factory 1,2023-05-01,Factory 1_City B_Type A_2023-05-01
4.87486188556471,Intermediate,Factory 1,2023-05-02,Factory 1_City C_Type B_2023-05-02
4.632409021254321,Intermediate,Factory 1,2023-05-03,Factory 1_City C_Type B_2023-05-03
9.685138325090248,Advanced,Factory 1,2023-05-04,Factory 1_City B_Type C_2023-05-04
9.618229135754357,Beginner,Factory 1,2023-05-05,Factory 1_City C_Type B_2023-05-05
7.648508356539097,Advanced,Factory 1,2023-05-06,Factory 1_City D_Type A_2023-05-06
9.286899476170216,Advanced,Factory 1,2023-05-07,Factory 1_City B_Type B_2023-05-07
1.25480146962401,Advanced,Factory 1,2023-05-08,Factory 1_City D_Type B_2023-05-08
8.10363563487717,Intermediate,Factory 1,2023-05-09,Factory 1_City C_Type A_2023-05-09
3.066383446785718,Beginner,Factory 1,2023-05-10,Factory 1_City A_Type B_2023-05-10
6.546704373331517,Beginner,Factory 1,2023-05-11,Factory 1_City B_Type B_2023-05-11
9.56297825853113,Beginner,Factory 1,2023-05-12,Factory 1_City E_Type C_2023-05-12
4.687653127986452,Intermediate,Factory 1,2023-05-13,Factory 1_City A_Type A_2023-05-13
9.363595620358534,Advanced,Factory 1,2023-05-14,Factory 1_City D_Type A_2023-05-14
3.3240791769954403,Advanced,Factory 1,2023-05-15,Factory 1_City E_Type B_2023-05-15
3.376557862243469,Advanced,Factory 1,2023-05-16,Factory 1_City B_Type B_2023-05-16
8.053951501155243,Intermediate,Factory 1,2023-05-17,Factory 1_City D_Type B_2023-05-17
6.095626221025638,Beginner,Factory 1,2023-05-18,Factory 1_City E_Type C_2023-05-18
4.343373492934908,Beginner,Factory 1,2023-05-19,Factory 1_City E_Type A_2023-05-19
7.34625231013507,Intermediate,Factory 1,2023-05-20,Factory 1_City B_Type C_2023-05-20
3.077151885338786,Advanced,Factory 1,2023-05-21,Factory 1_City D_Type B_2023-05-21
9.441687082905048,Intermediate,Factory 1,2023-05-22,Factory 1_City E_Type B_2023-05-22
9.084142575579117,Intermediate,Factory 1,2023-05-23,Factory 1_City A_Type C_2023-05-23
6.977815417646071,Advanced,Factory 1,2023-05-24,Factory 1_City C_Type B_2023-05-24
6.213830199957441,Intermediate,Factory 1,2023-05-25,Factory 1_City C_Type C_2023-05-25
9.89669483195902,Beginner,Factory 1,2023-05-26,Factory 1_City E_Type B_2023-05-26
5.196694716458369,Beginner,Factory 1,2023-05-27,Factory 1_City D_Type A_2023-05-27
2.446116262406606,Advanced,Factory 1,2023-05-28,Factory 1_City E_Type C_2023-05-28
1.7879379762500256,Advanced,Factory 1,2023-05-29,Factory 1_City C_Type C_2023-05-29
3.818468816467994,Beginner,Factory 1,2023-05-30,Factory 1_City D_Type B_2023-05-30
2.9120254947592565,Intermediate,Factory 1,2023-05-31,Factory 1_City C_Type B_2023-05-31
5.920261138649171,Advanced,Factory 1,2023-06-01,Factory 1_City D_Type A_2023-06-01
1.291991014424683,Advanced,Factory 1,2023-06-02,Factory 1_City A_Type C_2023-06-02
8.386265446901014,Advanced,Factory 1,2023-06-03,Factory 1_City E_Type C_2023-06-03
4.669732945024591,Advanced,Factory 1,2023-06-04,Factory 1_City E_Type C_2023-06-04
5.784949213880347,Beginner,Factory 1,2023-06-05,Factory 1_City A_Type C_2023-06-05
8.028674772799917,Intermediate,Factory 1,2023-06-06,Factory 1_City C_Type C_2023-06-06
8.714724913536298,Intermediate,Factory 1,2023-06-07,Factory 1_City B_Type A_2023-06-07
7.213651497199647,Advanced,Factory 1,2023-06-08,Factory 1_City A_Type C_2023-06-08
6.29516998884838,Advanced,Factory 1,2023-06-09,Factory 1_City B_Type A_2023-06-09
7.772215038278449,Beginner,Factory 1,2023-06-10,Factory 1_City C_Type A_2023-06-10
3.8072071498303472,Advanced,Factory 1,2023-06-11,Factory 1_City D_Type B_2023-06-11
5.209130912363893,Advanced,Factory 1,2023-06-12,Factory 1_City B_Type A_2023-06-12
1.549064287048554,Intermediate,Factory 1,2023-06-13,Factory 1_City D_Type C_2023-06-13
2.651071610352064,Intermediate,Factory 1,2023-06-14,Factory 1_City D_Type B_2023-06-14
9.255412599199126,Intermediate,Factory 1,2023-06-15,Factory 1_City B_Type C_2023-06-15
2.2111864039369697,Beginner,Factory 1,2023-06-16,Factory 1_City E_Type C_2023-06-16
4.49853713088892,Advanced,Factory 1,2023-06-17,Factory 1_City A_Type C_2023-06-17
7.78124899593637,Advanced,Factory 1,2023-06-18,Factory 1_City E_Type C_2023-06-18
6.739967276610324,Advanced,Factory 1,2023-06-19,Factory 1_City D_Type B_2023-06-19
3.7271575628382703,Intermediate,Factory 1,2023-06-20,Factory 1_City C_Type C_2023-06-20
4.733430899692168,Advanced,Factory 1,2023-06-21,Factory 1_City A_Type B_2023-06-21
1.8873480721774285,Beginner,Factory 1,2023-06-22,Factory 1_City E_Type B_2023-06-22
9.46792152603284,Advanced,Factory 1,2023-06-23,Factory 1_City E_Type A_2023-06-23
6.395150256928449,Intermediate,Factory 1,2023-06-24,Factory 1_City D_Type B_2023-06-24
7.873230424152885,Intermediate,Factory 1,2023-06-25,Factory 1_City B_Type A_2023-06-25
9.638119183643653,Advanced,Factory 1,2023-06-26,Factory 1_City E_Type C_2023-06-26
1.0376869926516208,Advanced,Factory 1,2023-06-27,Factory 1_City A_Type B_2023-06-27
3.1660346328143776,Intermediate,Factory 1,2023-06-28,Factory 1_City D_Type B_2023-06-28
7.07910440802783,Beginner,Factory 1,2023-06-29,Factory 1_City D_Type C_2023-06-29
6.075036289498621,Advanced,Factory 1,2023-06-30,Factory 1_City E_Type C_2023-06-30
6.631137210352174,Beginner,Factory 1,2023-07-01,Factory 1_City B_Type A_2023-07-01
1.7900941335234395,Intermediate,Factory 1,2023-07-02,Factory 1_City C_Type A_2023-07-02
9.076471457173431,Advanced,Factory 1,2023-07-03,Factory 1_City A_Type A_2023-07-03
2.8613610382005663,Advanced,Factory 1,2023-07-04,Factory 1_City E_Type C_2023-07-04
8.279436911425156,Beginner,Factory 1,2023-07-05,Factory 1_City D_Type C_2023-07-05
9.511747320033372,Advanced,Factory 1,2023-07-06,Factory 1_City C_Type B_2023-07-06
9.40479348561624,Intermediate,Factory 1,2023-07-07,Factory 1_City D_Type C_2023-07-07
9.782009366940391,Advanced,Factory 1,2023-07-08,Factory 1_City C_Type C_2023-07-08
7.769028994272773,Advanced,Factory 1,2023-07-09,Factory 1_City E_Type B_2023-07-09
5.611535386588959,Advanced,Factory 1,2023-07-10,Factory 1_City B_Type A_2023-07-10
6.061864367061288,Intermediate,Factory 1,2023-07-11,Factory 1_City E_Type A_2023-07-11
9.79746632388004,Beginner,Factory 1,2023-07-12,Factory 1_City D_Type C_2023-07-12
4.960639675598486,Intermediate,Factory 1,2023-07-13,Factory 1_City C_Type C_2023-07-13
2.6736535680167592,Intermediate,Factory 1,2023-07-14,Factory 1_City C_Type B_2023-07-14
3.823328122814406,Advanced,Factory 1,2023-07-15,Factory 1_City E_Type B_2023-07-15
1.5016676822869757,Advanced,Factory 1,2023-07-16,Factory 1_City C_Type A_2023-07-16
9.248402360039629,Beginner,Factory 1,2023-07-17,Factory 1_City D_Type A_2023-07-17
3.809726954077492,Advanced,Factory 1,2023-07-18,Factory 1_City C_Type B_2023-07-18
5.782211485774257,Advanced,Factory 1,2023-07-19,Factory 1_City B_Type A_2023-07-19
4.764619999841374,Intermediate,Factory 1,2023-07-20,Factory 1_City B_Type B_2023-07-20
8.52877801684813,Intermediate,Factory 1,2023-07-21,Factory 1_City C_Type A_2023-07-21
6.325452720031604,Beginner,Factory 1,2023-07-22,Factory 1_City C_Type B_2023-07-22
8.527740369218709,Intermediate,Factory 1,2023-07-23,Factory 1_City E_Type B_2023-07-23
6.191271276744303,Advanced,Factory 1,2023-07-24,Factory 1_City A_Type B_2023-07-24
6.407129344056572,Beginner,Factory 1,2023-07-25,Factory 1_City C_Type B_2023-07-25
6.428917558895539,Advanced,Factory 1,2023-07-26,Factory 1_City A_Type A_2023-07-26
9.497879545114968,Beginner,Factory 1,2023-07-27,Factory 1_City A_Type A_2023-07-27
5.007466222882341,Intermediate,Factory 1,2023-07-28,Factory 1_City E_Type B_2023-07-28
8.654538054957374,Advanced,Factory 1,2023-07-29,Factory 1_City E_Type A_2023-07-29
1.697346764131473,Beginner,Factory 1,2023-07-30,Factory 1_City E_Type B_2023-07-30
1.2737429272717118,Advanced,Factory 1,2023-07-31,Factory 1_City A_Type C_2023-07-31
5.367074101888205,Advanced,Factory 1,2023-08-01,Factory 1_City E_Type B_2023-08-01
8.127937300651388,Intermediate,Factory 1,2023-08-02,Factory 1_City A_Type A_2023-08-02
4.219792869643428,Advanced,Factory 1,2023-08-03,Factory 1_City A_Type A_2023-08-03
5.843980916816277,Advanced,Factory 1,2023-08-04,Factory 1_City C_Type C_2023-08-04
4.041833954228525,Beginner,Factory 1,2023-08-05,Factory 1_City C_Type B_2023-08-05
9.623243078240463,Intermediate,Factory 1,2023-08-06,Factory 1_City A_Type A_2023-08-06
4.64597249129071,Advanced,Factory 1,2023-08-07,Factory 1_City A_Type C_2023-08-07
3.1487659397742167,Advanced,Factory 1,2023-08-08,Factory 1_City E_Type B_2023-08-08
4.682643287126397,Advanced,Factory 1,2023-08-09,Factory 1_City C_Type C_2023-08-09
1.4604895580092832,Beginner,Factory 1,2023-08-10,Factory 1_City E_Type B_2023-08-10
8.413717491557204,Beginner,Factory 1,2023-08-11,Factory 1_City C_Type B_2023-08-11
4.465522501470655,Intermediate,Factory 1,2023-08-12,Factory 1_City A_Type C_2023-08-12
5.852719715622697,Advanced,Factory 1,2023-08-13,Factory 1_City D_Type C_2023-08-13
7.295808318539714,Intermediate,Factory 1,2023-08-14,Factory 1_City D_Type B_2023-08-14
7.840314116228565,Intermediate,Factory 1,2023-08-15,Factory 1_City C_Type B_2023-08-15
6.226803991500932,Beginner,Factory 1,2023-08-16,Factory 1_City A_Type A_2023-08-16
3.827458574532749,Beginner,Factory 1,2023-08-17,Factory 1_City E_Type C_2023-08-17
9.352128130564427,Intermediate,Factory 1,2023-08-18,Factory 1_City B_Type C_2023-08-18
1.9419439631183304,Advanced,Factory 1,2023-08-19,Factory 1_City B_Type A_2023-08-19
4.075739580933345,Intermediate,Factory 1,2023-08-20,Factory 1_City A_Type B_2023-08-20
6.698608074061951,Beginner,Factory 1,2023-08-21,Factory 1_City D_Type C_2023-08-21
2.221712677899109,Beginner,Factory 1,2023-08-22,Factory 1_City E_Type B_2023-08-22
8.586509342105774,Intermediate,Factory 1,2023-08-23,Factory 1_City D_Type A_2023-08-23
3.4942991668602383,Intermediate,Factory 1,2023-08-24,Factory 1_City E_Type B_2023-08-24
8.318278040335528,Beginner,Factory 1,2023-08-25,Factory 1_City C_Type C_2023-08-25
1.735117883797186,Beginner,Factory 1,2023-08-26,Factory 1_City B_Type A_2023-08-26
4.228801858191464,Advanced,Factory 1,2023-08-27,Factory 1_City A_Type B_2023-08-27
1.1768633447216303,Beginner,Factory 1,2023-08-28,Factory 1_City A_Type B_2023-08-28
7.20263269384765,Advanced,Factory 1,2023-08-29,Factory 1_City C_Type B_2023-08-29
7.423356328090365,Intermediate,Factory 1,2023-08-30,Factory 1_City E_Type C_2023-08-30
7.02339216259292,Beginner,Factory 1,2023-08-31,Factory 1_City C_Type B_2023-08-31
7.303130999799126,Beginner,Factory 1,2023-09-01,Factory 1_City B_Type C_2023-09-01
1.9613889366759156,Beginner,Factory 1,2023-09-02,Factory 1_City B_Type C_2023-09-02
7.504918084097161,Intermediate,Factory 1,2023-09-03,Factory 1_City B_Type C_2023-09-03
5.0821552865365724,Intermediate,Factory 1,2023-09-04,Factory 1_City A_Type B_2023-09-04
4.254994748755385,Beginner,Factory 1,2023-09-05,Factory 1_City C_Type A_2023-09-05
4.666670932192169,Advanced,Factory 1,2023-09-06,Factory 1_City D_Type C_2023-09-06
7.276884555134733,Intermediate,Factory 1,2023-09-07,Factory 1_City E_Type B_2023-09-07
9.384933247831173,Beginner,Factory 1,2023-09-08,Factory 1_City B_Type C_2023-09-08
4.51624183390854,Beginner,Factory 1,2023-09-09,Factory 1_City D_Type B_2023-09-09
9.127250861435304,Intermediate,Factory 1,2023-09-10,Factory 1_City C_Type B_2023-09-10
7.701372783667684,Advanced,Factory 1,2023-09-11,Factory 1_City D_Type C_2023-09-11
6.19468008600978,Beginner,Factory 1,2023-09-12,Factory 1_City E_Type C_2023-09-12
1.9469759971435276,Advanced,Factory 1,2023-09-13,Factory 1_City A_Type A_2023-09-13
5.5316216016819695,Intermediate,Factory 1,2023-09-14,Factory 1_City B_Type A_2023-09-14
6.703786784713027,Intermediate,Factory 1,2023-09-15,Factory 1_City E_Type C_2023-09-15
7.857409381687874,Intermediate,Factory 1,2023-09-16,Factory 1_City C_Type B_2023-09-16
6.9113370797960405,Advanced,Factory 1,2023-09-17,Factory 1_City C_Type B_2023-09-17
6.921549200841331,Advanced,Factory 1,2023-09-18,Factory 1_City D_Type B_2023-09-18
9.694193132171876,Advanced,Factory 1,2023-09-19,Factory 1_City C_Type C_2023-09-19
9.826850569499664,Intermediate,Factory 1,2023-09-20,Factory 1_City D_Type A_2023-09-20
5.671195242207002,Beginner,Factory 1,2023-09-21,Factory 1_City C_Type B_2023-09-21
6.904012191877984,Beginner,Factory 1,2023-09-22,Factory 1_City C_Type A_2023-09-22
8.689595619931122,Advanced,Factory 1,2023-09-23,Factory 1_City B_Type C_2023-09-23
5.515292494057824,Intermediate,Factory 1,2023-09-24,Factory 1_City C_Type B_2023-09-24
7.277030453478755,Advanced,Factory 1,2023-09-25,Factory 1_City D_Type C_2023-09-25
4.550960163532358,Intermediate,Factory 1,2023-09-26,Factory 1_City B_Type C_2023-09-26
5.340621915965891,Advanced,Factory 1,2023-09-27,Factory 1_City C_Type A_2023-09-27
3.076611311863484,Beginner,Factory 1,2023-09-28,Factory 1_City A_Type A_2023-09-28
6.13168494219824,Advanced,Factory 1,2023-09-29,Factory 1_City D_Type B_2023-09-29
5.681038730521551,Advanced,Factory 1,2023-09-30,Factory 1_City D_Type A_2023-09-30
4.58630885898293,Beginner,Factory 1,2023-10-01,Factory 1_City A_Type C_2023-10-01
9.392535577876442,Advanced,Factory 1,2023-10-02,Factory 1_City A_Type C_2023-10-02
7.472797260361903,Intermediate,Factory 1,2023-10-03,Factory 1_City E_Type B_2023-10-03
7.43623099130058,Intermediate,Factory 1,2023-10-04,Factory 1_City A_Type B_2023-10-04
5.596146860024642,Intermediate,Factory 1,2023-10-05,Factory 1_City B_Type A_2023-10-05
2.554815864529786,Advanced,Factory 1,2023-10-06,Factory 1_City C_Type C_2023-10-06
8.804369359010098,Advanced,Factory 1,2023-10-07,Factory 1_City B_Type B_2023-10-07
9.12546376332368,Intermediate,Factory 1,2023-10-08,Factory 1_City D_Type B_2023-10-08
4.138851226564795,Intermediate,Factory 1,2023-10-09,Factory 1_City B_Type B_2023-10-09
3.172147334537499,Advanced,Factory 1,2023-10-10,Factory 1_City A_Type A_2023-10-10
6.31734287405957,Beginner,Factory 1,2023-10-11,Factory 1_City A_Type C_2023-10-11
2.1791315678541903,Advanced,Factory 1,2023-10-12,Factory 1_City C_Type C_2023-10-12
3.5470057188616995,Beginner,Factory 1,2023-10-13,Factory 1_City D_Type C_2023-10-13
2.426071961626867,Advanced,Factory 1,2023-10-14,Factory 1_City D_Type C_2023-10-14
7.626285531644159,Advanced,Factory 1,2023-10-15,Factory 1_City A_Type A_2023-10-15
7.293816290397734,Advanced,Factory 1,2023-10-16,Factory 1_City C_Type A_2023-10-16
2.304392743985505,Intermediate,Factory 1,2023-10-17,Factory 1_City E_Type B_2023-10-17
9.12280494374718,Beginner,Factory 1,2023-10-18,Factory 1_City B_Type C_2023-10-18
5.260914402346439,Intermediate,Factory 1,2023-10-19,Factory 1_City B_Type B_2023-10-19
8.071022348900373,Intermediate,Factory 1,2023-10-20,Factory 1_City B_Type A_2023-10-20
2.8704145731295223,Beginner,Factory 1,2023-10-21,Factory 1_City B_Type C_2023-10-21
4.621542083329871,Intermediate,Factory 1,2023-10-22,Factory 1_City C_Type C_2023-10-22
4.170779957882605,Advanced,Factory 1,2023-10-23,Factory 1_City A_Type A_2023-10-23
8.878269159106846,Beginner,Factory 1,2023-10-24,Factory 1_City E_Type C_2023-10-24
6.217898116908458,Advanced,Factory 1,2023-10-25,Factory 1_City C_Type B_2023-10-25
2.5814372125314327,Advanced,Factory 1,2023-10-26,Factory 1_City A_Type C_2023-10-26
2.893348733768522,Beginner,Factory 1,2023-10-27,Factory 1_City E_Type B_2023-10-27
