factory,location,date,machine_type,machine_utilization_pcnt,machine_downtime_hours,machine_age_years,cycle_time_minutes,energy_consumption_kwh,energy_efficiency_rating,co2_emissions_kg,factory_machine
Factory 1,City C,2023-02-05,Type B,76.76861682858885,5.151996345912126,1,6.561525973661904,386.388891538959,A,111.1976743047267,Factory 1_City C_Type B_2023-02-05
Factory 1,City E,2023-02-06,Type B,77.32869325652533,7.170686548168958,10,7.078862551460273,110.61288154952788,A,181.4666113812941,Factory 1_City E_Type B_2023-02-06
Factory 1,City A,2023-02-07,Type B,84.14441549916401,7.882938497933877,1,10.124576558819216,396.6747776914662,B,145.0217329739221,Factory 1_City A_Type B_2023-02-07
Factory 1,City D,2023-02-08,Type C,72.66446825321685,1.120148309283592,9,12.321845784590623,200.2922642246391,A,149.7555011819383,Factory 1_City D_Type C_2023-02-08
Factory 1,City C,2023-02-09,Type B,81.90126005497748,5.309369322901185,6,7.149403785907568,112.47325402451386,D,74.3020816837377,Factory 1_City C_Type B_2023-02-09
Factory 1,City C,2023-02-10,Type B,70.13134546395962,0.824749968109959,12,14.620987857641175,416.0054235167424,A,116.90086594369336,Factory 1_City C_Type B_2023-02-10
Factory 1,City B,2023-02-11,Type A,81.83025295203333,2.5028388520447,5,6.925990277856304,146.11280849891375,C,191.63997336701507,Factory 1_City B_Type A_2023-02-11
Factory 1,City E,2023-02-12,Type B,83.0042027469683,3.414536453238915,14,9.619428505755875,496.13652533671086,C,181.2052509026299,Factory 1_City E_Type B_2023-02-12
Factory 1,City A,2023-02-13,Type C,81.68276916344132,2.3760230116390577,4,10.891085344708948,210.90625827870943,A,198.15835846040477,Factory 1_City A_Type C_2023-02-13
Factory 1,City E,2023-02-14,Type B,75.76674529294397,1.412224256044066,9,12.795844735667533,240.05010366669205,A,144.46668844942295,Factory 1_City E_Type B_2023-02-14
Factory 1,City A,2023-02-15,Type C,76.82398437140787,3.813414626642947,9,5.354223684185451,231.6205461479484,A,132.6286055913709,Factory 1_City A_Type C_2023-02-15
Factory 1,City B,2023-02-16,Type C,91.61232200768372,5.871279351629614,3,7.452855322553345,162.9362638810104,D,156.25444650725524,Factory 1_City B_Type C_2023-02-16
Factory 1,City E,2023-02-17,Type A,76.4672082674477,1.5450629166983445,14,10.598443123088297,146.33754271210307,B,145.1008554649417,Factory 1_City E_Type A_2023-02-17
Factory 1,City B,2023-02-18,Type B,78.64707642382392,4.967324142139817,2,14.734889691773969,487.5511421142766,D,147.13604651028612,Factory 1_City B_Type B_2023-02-18
Factory 1,City B,2023-02-19,Type C,87.01248255186783,5.236089714249082,3,6.510578917809003,272.9339204170408,A,186.42867664217275,Factory 1_City B_Type C_2023-02-19
Factory 1,City A,2023-02-20,Type A,89.41492131979354,6.167374757152416,2,11.262203216314154,152.49795107295503,A,186.77540524398665,Factory 1_City A_Type A_2023-02-20
Factory 1,City E,2023-02-21,Type B,87.01141565898314,3.1643606710397494,6,11.949818861265426,444.0489588756818,B,186.172797947696,Factory 1_City E_Type B_2023-02-21
Factory 1,City B,2023-02-22,Type B,84.18852120653895,5.515719753098126,2,11.70385458354412,480.6199897421308,A,155.9713589730352,Factory 1_City B_Type B_2023-02-22
Factory 1,City B,2023-02-23,Type B,72.04074955076474,0.4828166719245104,12,13.717835665922015,187.6855949432177,C,120.52738890449976,Factory 1_City B_Type B_2023-02-23
Factory 1,City E,2023-02-24,Type C,80.39768415367352,6.769962336152394,4,12.677238880667804,301.9379527572071,B,180.05472441836727,Factory 1_City E_Type C_2023-02-24
Factory 1,City B,2023-02-25,Type B,74.49207772175605,1.900346599391021,2,13.543850933695792,296.9111425792139,B,64.60900888303283,Factory 1_City B_Type B_2023-02-25
Factory 1,City C,2023-02-26,Type B,71.83741868325032,1.358063240700326,13,13.288833658826094,272.35500946472234,D,138.18265566655805,Factory 1_City C_Type B_2023-02-26
Factory 1,City B,2023-02-27,Type A,86.00007417092284,1.79760941578144,5,6.033089571240157,333.8682801770355,D,72.25148014431333,Factory 1_City B_Type A_2023-02-27
Factory 1,City B,2023-02-28,Type A,72.34751789473546,5.38081694580101,6,6.771497894473859,377.0503808904658,C,196.79469311007955,Factory 1_City B_Type A_2023-02-28
Factory 1,City A,2023-03-01,Type A,80.17269901807177,6.966027602698073,5,12.384492092513266,451.4062245205392,A,164.77862968336768,Factory 1_City A_Type A_2023-03-01
Factory 1,City A,2023-03-02,Type A,83.64217221238684,3.5553556220096123,10,6.684443851427196,357.03038757887583,B,119.52410657008583,Factory 1_City A_Type A_2023-03-02
Factory 1,City E,2023-03-03,Type A,74.89444964208866,0.0605029998251369,5,7.434822965762993,470.81381791852266,C,79.5731189859316,Factory 1_City E_Type A_2023-03-03
Factory 1,City B,2023-03-04,Type C,83.1290845916765,5.672370093779461,1,7.565627837013638,485.1707500950319,D,63.0558443881488,Factory 1_City B_Type C_2023-03-04
Factory 1,City D,2023-03-05,Type B,88.29895168964086,6.809394086822167,10,12.66656135200406,159.8815871827831,C,137.99126947632112,Factory 1_City D_Type B_2023-03-05
Factory 1,City E,2023-03-06,Type B,80.10796920260731,3.425596919404918,9,14.912559937021882,151.35771578165009,C,140.48291153200583,Factory 1_City E_Type B_2023-03-06
Factory 1,City B,2023-03-07,Type C,83.32394466378338,2.594670024923005,6,14.941393612211677,364.73567593975145,A,199.32207360563856,Factory 1_City B_Type C_2023-03-07
Factory 1,City E,2023-03-08,Type C,79.9828978952327,1.2193281066433397,4,10.399571302805596,436.8133177505685,A,63.93937165690849,Factory 1_City E_Type C_2023-03-08
Factory 1,City D,2023-03-09,Type B,81.18006351262089,4.804754666884938,6,9.969634829058302,496.8632059293251,A,108.65641445872616,Factory 1_City D_Type B_2023-03-09
Factory 1,City B,2023-03-10,Type B,90.56201409085902,1.0601973819347874,1,9.87061918818936,342.501175100391,B,174.39986077119255,Factory 1_City B_Type B_2023-03-10
Factory 1,City E,2023-03-11,Type C,85.48969887244574,5.201608739185227,3,6.917824555918606,184.70214026619132,B,199.22994757546508,Factory 1_City E_Type C_2023-03-11
Factory 1,City E,2023-03-12,Type B,80.65208459725929,1.0456830139215958,14,8.542362404447745,310.201848787456,B,174.13068433503116,Factory 1_City E_Type B_2023-03-12
Factory 1,City E,2023-03-13,Type A,71.06583023217581,2.971268541201126,12,9.993338349786182,206.40771120215229,A,123.23617055326672,Factory 1_City E_Type A_2023-03-13
Factory 1,City A,2023-03-14,Type B,93.2579721209456,2.0244674624062764,5,9.95452103460982,254.5395639393262,B,145.50045232508108,Factory 1_City A_Type B_2023-03-14
Factory 1,City D,2023-03-15,Type C,94.26874894176676,7.538523117385543,12,9.121309302627717,319.8464174875698,B,164.65589933326038,Factory 1_City D_Type C_2023-03-15
Factory 1,City C,2023-03-16,Type B,85.04703974090805,4.659381265657972,12,5.437356258799695,144.32318487192282,B,83.69234177657779,Factory 1_City C_Type B_2023-03-16
Factory 1,City E,2023-03-17,Type B,91.04996382225154,5.827925417292906,7,6.774287694697069,318.01076755877534,C,90.39969474530376,Factory 1_City E_Type B_2023-03-17
Factory 1,City D,2023-03-18,Type C,91.9284610377851,3.4704040980381743,10,13.117522168657098,396.684824605172,C,198.7714927024045,Factory 1_City D_Type C_2023-03-18
Factory 1,City A,2023-03-19,Type B,88.96690975277512,5.427030582841135,3,9.703190541017856,300.8200853953789,B,105.24642957602724,Factory 1_City A_Type B_2023-03-19
Factory 1,City E,2023-03-20,Type B,84.03711469898809,4.485280755329367,8,13.049889996807698,207.92828805128573,D,98.31620063437782,Factory 1_City E_Type B_2023-03-20
Factory 1,City A,2023-03-21,Type B,86.06412998837979,3.369984426352576,4,6.183361909233874,263.9619558785153,B,162.08293816130566,Factory 1_City A_Type B_2023-03-21
Factory 1,City C,2023-03-22,Type A,91.0483391697952,1.4888113427702183,5,9.829688720853552,153.3919889663775,D,57.47630416744124,Factory 1_City C_Type A_2023-03-22
Factory 1,City B,2023-03-23,Type B,80.72217197152597,6.758315490288172,12,13.530896234036504,118.6002345760262,B,185.96561800166165,Factory 1_City B_Type B_2023-03-23
Factory 1,City C,2023-03-24,Type C,74.95244081899351,4.522642036572879,3,11.085272726964666,239.8025488347275,A,53.30527404462563,Factory 1_City C_Type C_2023-03-24
Factory 1,City B,2023-03-25,Type B,91.24938428701654,5.3521786986328665,3,10.454318694069055,124.90924235275423,D,66.79038905322955,Factory 1_City B_Type B_2023-03-25
Factory 1,City B,2023-03-26,Type B,83.949518469566,4.420108918261802,14,7.824308986865117,256.2913462454453,C,65.82105499349458,Factory 1_City B_Type B_2023-03-26
Factory 1,City D,2023-03-27,Type B,77.91904192668817,6.857434055990024,11,14.83521472715222,156.28461121950338,A,55.00754026795718,Factory 1_City D_Type B_2023-03-27
Factory 1,City B,2023-03-28,Type C,86.40335045051452,1.0386115916137406,9,5.293641591023923,429.1833784885944,B,61.91098769645443,Factory 1_City B_Type C_2023-03-28
Factory 1,City D,2023-03-29,Type B,72.51593696308834,1.9189929020475576,2,9.503509789054126,399.5305347853226,A,115.32581815972392,Factory 1_City D_Type B_2023-03-29
Factory 1,City C,2023-03-30,Type B,82.81636882862632,2.4424854135738503,5,8.039464012407239,361.2651162125132,B,185.5411766520193,Factory 1_City C_Type B_2023-03-30
Factory 1,City B,2023-03-31,Type B,77.00093323876223,6.866733414392967,14,12.53961903596784,421.96271073657545,D,197.26980398909416,Factory 1_City B_Type B_2023-03-31
Factory 1,City A,2023-04-01,Type C,92.57237487979968,6.818110995129452,13,13.923024981396525,174.1320718114858,C,129.69747808520887,Factory 1_City A_Type C_2023-04-01
Factory 1,City A,2023-04-02,Type A,87.36126140326772,0.6576565096942533,12,6.375237748170154,236.32627991593864,D,116.50700215687816,Factory 1_City A_Type A_2023-04-02
Factory 1,City B,2023-04-03,Type C,73.50060243883294,2.2145144623304462,9,9.820410581120823,178.43908509535717,C,117.12022119836868,Factory 1_City B_Type C_2023-04-03
Factory 1,City A,2023-04-04,Type A,72.84595983691503,2.7617851424135367,7,9.935465803401186,380.9035064126657,C,117.5895528474701,Factory 1_City A_Type A_2023-04-04
Factory 1,City D,2023-04-05,Type B,76.41735570775114,5.322336815824442,4,6.210250004851931,267.57911607499017,D,185.04819021114076,Factory 1_City D_Type B_2023-04-05
Factory 1,City B,2023-04-06,Type A,71.66109610889437,4.27173978038211,2,9.22034260127639,218.01628306166248,A,62.65885708168135,Factory 1_City B_Type A_2023-04-06
Factory 1,City C,2023-04-07,Type C,91.4390584415321,7.333081886729658,7,10.821987465941138,248.46896937505105,A,54.11304649589865,Factory 1_City C_Type C_2023-04-07
Factory 1,City A,2023-04-08,Type B,91.17848724234464,4.248682759081943,4,10.5968844483794,142.10367407880494,A,71.08294513675412,Factory 1_City A_Type B_2023-04-08
Factory 1,City E,2023-04-09,Type B,79.3700891945449,3.792051427865247,4,10.453811212183023,135.2806815159483,C,194.17032281113896,Factory 1_City E_Type B_2023-04-09
Factory 1,City D,2023-04-10,Type A,94.16043464666018,4.461670610000351,1,6.391967013456955,277.6174996808812,C,172.51353951792922,Factory 1_City D_Type A_2023-04-10
Factory 1,City E,2023-04-11,Type C,91.74922899119213,1.0452187505877033,7,12.942106625494054,210.3070273005428,B,55.16918891375,Factory 1_City E_Type C_2023-04-11
Factory 1,City C,2023-04-12,Type B,81.0863959095476,4.816935882838236,4,9.764833837782929,498.4491798557765,D,178.0942950433133,Factory 1_City C_Type B_2023-04-12
Factory 1,City E,2023-04-13,Type B,78.33518305397776,5.864409518879947,9,14.905460327701334,180.2604069615045,B,174.27039491736755,Factory 1_City E_Type B_2023-04-13
Factory 1,City C,2023-04-14,Type C,83.72825840692931,5.056718636049938,13,5.060887482398391,140.37647999100858,B,94.93485169308109,Factory 1_City C_Type C_2023-04-14
Factory 1,City A,2023-04-15,Type A,86.0119010543961,7.831848921398471,3,11.478174459905285,149.16827138615503,A,157.96871800320292,Factory 1_City A_Type A_2023-04-15
Factory 1,City B,2023-04-16,Type C,71.35830087057259,5.9891618730096,9,10.111291392372298,118.74076341104126,D,139.0228644463902,Factory 1_City B_Type C_2023-04-16
Factory 1,City D,2023-04-17,Type C,72.23223811313932,5.496154132025942,13,11.32711878748601,381.5428366537325,B,70.86737733366313,Factory 1_City D_Type C_2023-04-17
Factory 1,City B,2023-04-18,Type B,89.26951545659699,0.0230500133249167,9,10.52069364653378,266.31900027498006,B,81.79910820479871,Factory 1_City B_Type B_2023-04-18
Factory 1,City C,2023-04-19,Type C,86.67166651377305,6.586475438565743,10,5.998668211361782,375.2177775344055,A,106.86410730079044,Factory 1_City C_Type C_2023-04-19
Factory 1,City D,2023-04-20,Type B,91.42823899640706,4.602843226012448,11,8.677336508051098,172.6956762837852,C,52.632854504994334,Factory 1_City D_Type B_2023-04-20
Factory 1,City C,2023-04-21,Type A,75.70588408734248,1.972829079824197,13,9.738098283979468,123.13777977886424,B,198.53133403814323,Factory 1_City C_Type A_2023-04-21
Factory 1,City D,2023-04-22,Type C,76.49762448107082,2.761537667953684,6,9.699882681579366,456.0564549584059,A,153.4999605963415,Factory 1_City D_Type C_2023-04-22
Factory 1,City C,2023-04-23,Type B,91.59903951837524,3.850667012285319,11,6.369990630536714,497.9925477300372,B,178.06773825570005,Factory 1_City C_Type B_2023-04-23
Factory 1,City C,2023-04-24,Type A,93.59253982050552,7.681084835243578,2,8.927937758093433,441.6887625363472,B,157.7496763058006,Factory 1_City C_Type A_2023-04-24
Factory 1,City C,2023-04-25,Type B,80.71755052466084,0.2333581091621157,12,6.185026235981516,215.55397556366623,D,198.5129564101223,Factory 1_City C_Type B_2023-04-25
Factory 1,City B,2023-04-26,Type A,74.78982364337064,7.345912693403497,7,7.208527829630089,115.57198533026698,B,193.44801400812912,Factory 1_City B_Type A_2023-04-26
Factory 1,City B,2023-04-27,Type A,84.77825758146291,1.4890871820267837,7,11.360424687799682,245.7416953712928,B,191.1176780754662,Factory 1_City B_Type A_2023-04-27
Factory 1,City A,2023-04-28,Type B,79.0544063699682,5.7850261910604335,7,5.100906066890247,274.9927706432839,D,50.22107331294672,Factory 1_City A_Type B_2023-04-28
Factory 1,City E,2023-04-29,Type B,84.76594584986594,5.288114033978562,7,12.093208284726096,166.92852160042415,C,127.6394451973283,Factory 1_City E_Type B_2023-04-29
Factory 1,City C,2023-04-30,Type B,93.0248630274144,5.556763418026283,13,7.7407158934219105,422.8283615466812,A,71.32556700558433,Factory 1_City C_Type B_2023-04-30
Factory 1,City B,2023-05-01,Type A,94.25642774315142,3.501290625185628,8,13.171281420155852,318.57212643113894,A,131.1101850699656,Factory 1_City B_Type A_2023-05-01
Factory 1,City C,2023-05-02,Type B,90.82075941970676,7.248696483850084,4,5.51835799119729,319.54346603094234,B,108.60231664789087,Factory 1_City C_Type B_2023-05-02
Factory 1,City C,2023-05-03,Type B,85.02756739060821,7.922894255986975,2,14.147311149565036,104.59226389975112,B,127.80514915708926,Factory 1_City C_Type B_2023-05-03
Factory 1,City B,2023-05-04,Type C,84.8839915314651,1.3768848225822214,6,9.303747496907931,378.31899106217793,C,143.5473167435399,Factory 1_City B_Type C_2023-05-04
Factory 1,City C,2023-05-05,Type B,93.47642739917968,0.0534570337911022,6,8.735548010476819,120.19557776496316,A,52.30923375369627,Factory 1_City C_Type B_2023-05-05
Factory 1,City D,2023-05-06,Type A,82.8181598565444,3.5070798402460905,8,10.468759658760446,368.2702101529303,B,157.107908506719,Factory 1_City D_Type A_2023-05-06
Factory 1,City B,2023-05-07,Type B,79.58210599105503,3.948007937235266,13,8.974481568990917,305.4444186177298,C,160.68760900310383,Factory 1_City B_Type B_2023-05-07
Factory 1,City D,2023-05-08,Type B,86.23305811442205,7.490244971751413,2,7.923831104121931,277.5677818025512,A,80.16480911640011,Factory 1_City D_Type B_2023-05-08
Factory 1,City C,2023-05-09,Type A,90.66220225489404,3.5696097678203493,5,14.24561055376805,277.3226038068701,B,130.3330722319509,Factory 1_City C_Type A_2023-05-09
Factory 1,City A,2023-05-10,Type B,89.86214084121227,7.07501237618377,7,9.145160648167924,105.3004134015642,A,74.05481091796148,Factory 1_City A_Type B_2023-05-10
Factory 1,City B,2023-05-11,Type B,85.86598141218451,4.657150460622388,9,8.110024947326803,166.77242832700057,C,108.6549303691098,Factory 1_City B_Type B_2023-05-11
Factory 1,City E,2023-05-12,Type C,72.88486605447294,4.845103114587292,13,6.428419648143319,376.8294588097476,C,67.14286549969691,Factory 1_City E_Type C_2023-05-12
Factory 1,City A,2023-05-13,Type A,90.53470907251736,6.746609342303065,12,12.9155820259137,280.517645211702,C,173.089813651488,Factory 1_City A_Type A_2023-05-13
Factory 1,City D,2023-05-14,Type A,83.97648212366505,2.569297221087628,3,8.725332737595508,127.4854710895844,B,106.17205999520256,Factory 1_City D_Type A_2023-05-14
Factory 1,City E,2023-05-15,Type B,90.07505179894594,4.144064531236999,3,11.204737850519706,396.90127487963485,C,149.3725920412412,Factory 1_City E_Type B_2023-05-15
Factory 1,City B,2023-05-16,Type B,91.71599099558564,5.794755250636317,1,6.33650581410518,277.54367536852044,C,148.92661529611553,Factory 1_City B_Type B_2023-05-16
Factory 1,City D,2023-05-17,Type B,87.47372071218464,2.9467777103548105,8,7.595764492750492,113.4705615497856,A,183.2696164884381,Factory 1_City D_Type B_2023-05-17
Factory 1,City E,2023-05-18,Type C,90.03369979684521,5.394070736051993,13,10.71162298622361,221.61210897919983,A,69.51210047434205,Factory 1_City E_Type C_2023-05-18
Factory 1,City E,2023-05-19,Type A,84.67341266397267,4.647603039105435,13,9.422938054511352,382.9588000131711,C,136.82602520533888,Factory 1_City E_Type A_2023-05-19
Factory 1,City B,2023-05-20,Type C,93.12617938357536,5.053148120663133,9,14.74247654144756,127.92026184585156,B,73.43098530299329,Factory 1_City B_Type C_2023-05-20
Factory 1,City D,2023-05-21,Type B,80.04717999726824,1.2295283427536363,1,14.213075122129757,333.27632171083906,D,64.23626619010193,Factory 1_City D_Type B_2023-05-21
Factory 1,City E,2023-05-22,Type B,87.28029523466351,4.824316440426267,8,12.75911532807306,151.17476980471326,D,60.052480662681496,Factory 1_City E_Type B_2023-05-22
Factory 1,City A,2023-05-23,Type C,89.95732993022966,2.6100313443291743,13,6.296789782242353,202.5852244067064,A,103.05450298711008,Factory 1_City A_Type C_2023-05-23
Factory 1,City C,2023-05-24,Type B,91.88514062804586,3.5339719331016566,10,5.569787269973682,267.442909967332,A,78.6088981386342,Factory 1_City C_Type B_2023-05-24
Factory 1,City C,2023-05-25,Type C,72.92529312144866,6.397743308949757,7,9.161453676406069,305.54029383063914,D,79.46288238080261,Factory 1_City C_Type C_2023-05-25
Factory 1,City E,2023-05-26,Type B,94.24816313362976,4.570083759496779,6,12.97732263348214,246.95629147882815,C,100.62204885123472,Factory 1_City E_Type B_2023-05-26
Factory 1,City D,2023-05-27,Type A,83.85843685850863,1.5960425194368677,10,14.485029432181948,477.86629286843805,D,81.13114043085552,Factory 1_City D_Type A_2023-05-27
Factory 1,City E,2023-05-28,Type C,86.16501109871655,1.8139294752555568,9,12.735527418648871,149.36032608223857,D,55.23673289843357,Factory 1_City E_Type C_2023-05-28
Factory 1,City C,2023-05-29,Type C,84.2116224626985,5.212125466631139,10,10.657815548409964,471.65788688467495,B,104.88287143353207,Factory 1_City C_Type C_2023-05-29
Factory 1,City D,2023-05-30,Type B,76.93661699312385,2.252928336845054,13,12.160499732421446,382.4984650221049,C,115.34671856847648,Factory 1_City D_Type B_2023-05-30
Factory 1,City C,2023-05-31,Type B,70.12566381524508,0.4807712830253612,10,7.730406193278068,170.87700040447646,D,172.6111770959164,Factory 1_City C_Type B_2023-05-31
Factory 1,City D,2023-06-01,Type A,90.56236623225568,1.3867444238022468,1,11.82153161561635,479.9598672984304,B,139.4122932857459,Factory 1_City D_Type A_2023-06-01
Factory 1,City A,2023-06-02,Type C,76.3484442980924,6.2399066152843545,13,8.615413987540386,136.86718338897293,B,82.20438311950332,Factory 1_City A_Type C_2023-06-02
Factory 1,City E,2023-06-03,Type C,73.60773001804007,0.9256105454424172,12,7.182598726937295,495.77270631185263,A,87.92871773751668,Factory 1_City E_Type C_2023-06-03
Factory 1,City E,2023-06-04,Type C,90.59059026872434,3.0768886078301456,5,5.167563044923824,371.67966048046776,B,152.5799677753015,Factory 1_City E_Type C_2023-06-04
Factory 1,City A,2023-06-05,Type C,78.86665512462707,4.405307035526812,10,13.146710047099893,344.7324080412886,A,184.88905383870343,Factory 1_City A_Type C_2023-06-05
Factory 1,City C,2023-06-06,Type C,93.95295022298583,1.7635680339633515,7,14.164205445320665,354.165742744764,A,92.85493910671468,Factory 1_City C_Type C_2023-06-06
Factory 1,City B,2023-06-07,Type A,77.7117070372371,4.584337604952125,8,7.71998605344356,102.55161736263628,A,154.5042667155123,Factory 1_City B_Type A_2023-06-07
Factory 1,City A,2023-06-08,Type C,71.64230291224148,7.096954537789587,4,9.171934185645764,164.0902403906025,A,134.81299514116137,Factory 1_City A_Type C_2023-06-08
Factory 1,City B,2023-06-09,Type A,80.49068457017026,0.404979778152593,1,13.579550909150573,392.4629377819669,D,51.69538048835337,Factory 1_City B_Type A_2023-06-09
Factory 1,City C,2023-06-10,Type A,75.54454945480796,2.540436638956014,5,5.899162448597023,177.29976609366727,B,100.61814184463437,Factory 1_City C_Type A_2023-06-10
Factory 1,City D,2023-06-11,Type B,80.21138953521206,5.437577734666762,6,8.919105629439091,378.8654768551922,A,86.97798584569745,Factory 1_City D_Type B_2023-06-11
Factory 1,City B,2023-06-12,Type A,94.74391033523337,0.240170657192575,10,6.17280147800445,167.6247113758865,C,148.91344431229965,Factory 1_City B_Type A_2023-06-12
Factory 1,City D,2023-06-13,Type C,70.40500993348668,6.547043398236282,1,14.919627472386432,217.6269848707111,D,167.13790345791358,Factory 1_City D_Type C_2023-06-13
