team_size,key_point
18,Factory 1_City E_Type A_2023-11-04
17,Factory 1_City A_Type C_2023-11-05
11,Factory 1_City E_Type C_2023-11-06
7,Factory 1_City C_Type C_2023-11-07
16,Factory 1_City B_Type B_2023-11-08
13,Factory 1_City C_Type B_2023-11-09
19,Factory 1_City E_Type B_2023-11-10
16,Factory 1_City D_Type B_2023-11-11
6,Factory 1_City C_Type C_2023-11-12
6,Factory 1_City E_Type C_2023-11-13
8,Factory 1_City B_Type B_2023-11-14
17,Factory 1_City A_Type A_2023-11-15
19,Factory 1_City A_Type A_2023-11-16
6,Factory 1_City A_Type A_2023-11-17
19,Factory 1_City E_Type B_2023-11-18
11,Factory 1_City D_Type C_2023-11-19
6,Factory 1_City B_Type A_2023-11-20
16,Factory 1_City B_Type B_2023-11-21
11,Factory 1_City A_Type A_2023-11-22
8,Factory 1_City D_Type B_2023-11-23
17,Factory 1_City B_Type C_2023-11-24
15,Factory 1_City B_Type A_2023-11-25
19,Factory 1_City C_Type B_2023-11-26
9,Factory 1_City D_Type B_2023-11-27
19,Factory 1_City A_Type B_2023-11-28
18,Factory 1_City B_Type C_2023-11-29
12,Factory 1_City D_Type C_2023-11-30
11,Factory 1_City B_Type A_2023-12-01
9,Factory 1_City E_Type B_2023-12-02
18,Factory 1_City A_Type B_2023-12-03
14,Factory 1_City E_Type A_2023-12-04
9,Factory 1_City E_Type A_2023-12-05
15,Factory 1_City D_Type C_2023-12-06
12,Factory 1_City D_Type B_2023-12-07
16,Factory 1_City E_Type C_2023-12-08
8,Factory 1_City D_Type A_2023-12-09
11,Factory 1_City E_Type A_2023-12-10
8,Factory 1_City E_Type A_2023-12-11
18,Factory 1_City E_Type A_2023-12-12
5,Factory 1_City A_Type A_2023-12-13
16,Factory 1_City B_Type A_2023-12-14
9,Factory 1_City E_Type B_2023-12-15
19,Factory 1_City E_Type B_2023-12-16
7,Factory 1_City A_Type B_2023-12-17
19,Factory 1_City C_Type A_2023-12-18
19,Factory 1_City D_Type B_2023-12-19
11,Factory 1_City E_Type B_2023-12-20
14,Factory 1_City E_Type B_2023-12-21
10,Factory 1_City C_Type B_2023-12-22
9,Factory 1_City E_Type A_2023-12-23
9,Factory 1_City C_Type B_2023-12-24
5,Factory 1_City D_Type B_2023-12-25
15,Factory 1_City B_Type B_2023-12-26
17,Factory 1_City B_Type B_2023-12-27
8,Factory 1_City E_Type B_2023-12-28
16,Factory 1_City B_Type C_2023-12-29
14,Factory 1_City A_Type A_2023-12-30
10,Factory 1_City C_Type A_2023-12-31
9,Factory 2_City C_Type C_2023-01-01
13,Factory 2_City B_Type A_2023-01-02
17,Factory 2_City E_Type A_2023-01-03
12,Factory 2_City E_Type C_2023-01-04
15,Factory 2_City D_Type C_2023-01-05
18,Factory 2_City A_Type B_2023-01-06
10,Factory 2_City B_Type C_2023-01-07
19,Factory 2_City B_Type C_2023-01-08
14,Factory 2_City B_Type B_2023-01-09
10,Factory 2_City E_Type B_2023-01-10
10,Factory 2_City A_Type C_2023-01-11
5,Factory 2_City E_Type A_2023-01-12
19,Factory 2_City B_Type C_2023-01-13
10,Factory 2_City B_Type C_2023-01-14
19,Factory 2_City D_Type A_2023-01-15
14,Factory 2_City A_Type A_2023-01-16
5,Factory 2_City B_Type B_2023-01-17
10,Factory 2_City C_Type B_2023-01-18
15,Factory 2_City D_Type C_2023-01-19
14,Factory 2_City C_Type A_2023-01-20
6,Factory 2_City B_Type C_2023-01-21
14,Factory 2_City E_Type B_2023-01-22
9,Factory 2_City C_Type B_2023-01-23
11,Factory 2_City E_Type B_2023-01-24
10,Factory 2_City B_Type A_2023-01-25
6,Factory 2_City E_Type A_2023-01-26
15,Factory 2_City D_Type A_2023-01-27
9,Factory 2_City C_Type C_2023-01-28
9,Factory 2_City D_Type C_2023-01-29
13,Factory 2_City D_Type A_2023-01-30
8,Factory 2_City C_Type C_2023-01-31
14,Factory 2_City B_Type C_2023-02-01
17,Factory 2_City E_Type B_2023-02-02
12,Factory 2_City B_Type B_2023-02-03
15,Factory 2_City C_Type B_2023-02-04
17,Factory 2_City A_Type A_2023-02-05
18,Factory 2_City B_Type B_2023-02-06
10,Factory 2_City C_Type C_2023-02-07
18,Factory 2_City A_Type B_2023-02-08
15,Factory 2_City B_Type A_2023-02-09
6,Factory 2_City B_Type A_2023-02-10
16,Factory 2_City A_Type B_2023-02-11
10,Factory 2_City D_Type B_2023-02-12
17,Factory 2_City B_Type A_2023-02-13
12,Factory 2_City E_Type B_2023-02-14
8,Factory 2_City B_Type C_2023-02-15
10,Factory 2_City B_Type A_2023-02-16
11,Factory 2_City C_Type B_2023-02-17
7,Factory 2_City D_Type B_2023-02-18
10,Factory 2_City D_Type A_2023-02-19
9,Factory 2_City C_Type C_2023-02-20
11,Factory 2_City B_Type A_2023-02-21
7,Factory 2_City B_Type A_2023-02-22
9,Factory 2_City C_Type C_2023-02-23
5,Factory 2_City A_Type B_2023-02-24
11,Factory 2_City C_Type C_2023-02-25
11,Factory 2_City B_Type C_2023-02-26
14,Factory 2_City C_Type B_2023-02-27
5,Factory 2_City C_Type B_2023-02-28
13,Factory 2_City E_Type B_2023-03-01
8,Factory 2_City A_Type B_2023-03-02
5,Factory 2_City B_Type A_2023-03-03
17,Factory 2_City D_Type B_2023-03-04
13,Factory 2_City B_Type C_2023-03-05
18,Factory 2_City C_Type A_2023-03-06
10,Factory 2_City A_Type C_2023-03-07
6,Factory 2_City E_Type A_2023-03-08
16,Factory 2_City B_Type B_2023-03-09
18,Factory 2_City E_Type C_2023-03-10
6,Factory 2_City B_Type B_2023-03-11
6,Factory 2_City E_Type C_2023-03-12
7,Factory 2_City E_Type A_2023-03-13
17,Factory 2_City A_Type B_2023-03-14
17,Factory 2_City E_Type B_2023-03-15
12,Factory 2_City D_Type A_2023-03-16
17,Factory 2_City D_Type B_2023-03-17
5,Factory 2_City B_Type C_2023-03-18
14,Factory 2_City A_Type B_2023-03-19
13,Factory 2_City C_Type C_2023-03-20
14,Factory 2_City B_Type C_2023-03-21
6,Factory 2_City D_Type A_2023-03-22
11,Factory 2_City E_Type C_2023-03-23
6,Factory 2_City D_Type B_2023-03-24
10,Factory 2_City D_Type C_2023-03-25
8,Factory 2_City B_Type A_2023-03-26
9,Factory 2_City B_Type C_2023-03-27
13,Factory 2_City D_Type B_2023-03-28
11,Factory 2_City C_Type A_2023-03-29
13,Factory 2_City C_Type A_2023-03-30
10,Factory 2_City E_Type B_2023-03-31
16,Factory 2_City E_Type C_2023-04-01
17,Factory 2_City A_Type B_2023-04-02
15,Factory 2_City D_Type C_2023-04-03
15,Factory 2_City E_Type A_2023-04-04
8,Factory 2_City B_Type C_2023-04-05
8,Factory 2_City C_Type C_2023-04-06
8,Factory 2_City C_Type A_2023-04-07
16,Factory 2_City E_Type C_2023-04-08
19,Factory 2_City E_Type A_2023-04-09
12,Factory 2_City D_Type C_2023-04-10
8,Factory 2_City B_Type A_2023-04-11
17,Factory 2_City D_Type C_2023-04-12
19,Factory 2_City D_Type C_2023-04-13
11,Factory 2_City A_Type C_2023-04-14
17,Factory 2_City C_Type B_2023-04-15
17,Factory 2_City C_Type A_2023-04-16
17,Factory 2_City E_Type B_2023-04-17
6,Factory 2_City E_Type A_2023-04-18
5,Factory 2_City D_Type C_2023-04-19
9,Factory 2_City A_Type C_2023-04-20
12,Factory 2_City D_Type A_2023-04-21
11,Factory 2_City B_Type A_2023-04-22
17,Factory 2_City A_Type B_2023-04-23
5,Factory 2_City A_Type C_2023-04-24
16,Factory 2_City E_Type C_2023-04-25
12,Factory 2_City B_Type B_2023-04-26
17,Factory 2_City B_Type B_2023-04-27
15,Factory 2_City C_Type C_2023-04-28
13,Factory 2_City C_Type A_2023-04-29
17,Factory 2_City C_Type A_2023-04-30
9,Factory 2_City C_Type C_2023-05-01
11,Factory 2_City B_Type B_2023-05-02
8,Factory 2_City D_Type C_2023-05-03
5,Factory 2_City A_Type B_2023-05-04
14,Factory 2_City A_Type C_2023-05-05
19,Factory 2_City B_Type B_2023-05-06
8,Factory 2_City C_Type A_2023-05-07
18,Factory 2_City E_Type A_2023-05-08
13,Factory 2_City A_Type A_2023-05-09
10,Factory 2_City D_Type C_2023-05-10
14,Factory 2_City D_Type B_2023-05-11
12,Factory 2_City D_Type A_2023-05-12
5,Factory 2_City D_Type A_2023-05-13
9,Factory 2_City B_Type A_2023-05-14
5,Factory 2_City B_Type A_2023-05-15
17,Factory 2_City C_Type C_2023-05-16
5,Factory 2_City A_Type C_2023-05-17
18,Factory 2_City B_Type B_2023-05-18
13,Factory 2_City B_Type C_2023-05-19
18,Factory 2_City C_Type B_2023-05-20
17,Factory 2_City E_Type A_2023-05-21
12,Factory 2_City C_Type B_2023-05-22
11,Factory 2_City D_Type B_2023-05-23
16,Factory 2_City D_Type B_2023-05-24
9,Factory 2_City D_Type C_2023-05-25
13,Factory 2_City C_Type C_2023-05-26
7,Factory 2_City C_Type B_2023-05-27
19,Factory 2_City B_Type C_2023-05-28
8,Factory 2_City B_Type C_2023-05-29
17,Factory 2_City A_Type A_2023-05-30
15,Factory 2_City A_Type C_2023-05-31
10,Factory 2_City C_Type B_2023-06-01
5,Factory 2_City E_Type C_2023-06-02
5,Factory 2_City B_Type B_2023-06-03
8,Factory 2_City D_Type A_2023-06-04
19,Factory 2_City B_Type A_2023-06-05
13,Factory 2_City A_Type B_2023-06-06
19,Factory 2_City C_Type C_2023-06-07
15,Factory 2_City A_Type B_2023-06-08
18,Factory 2_City C_Type B_2023-06-09
11,Factory 2_City B_Type B_2023-06-10
9,Factory 2_City C_Type C_2023-06-11
10,Factory 2_City B_Type B_2023-06-12
5,Factory 2_City B_Type B_2023-06-13
15,Factory 2_City D_Type B_2023-06-14
7,Factory 2_City A_Type C_2023-06-15
10,Factory 2_City A_Type B_2023-06-16
8,Factory 2_City B_Type A_2023-06-17
14,Factory 2_City B_Type B_2023-06-18
12,Factory 2_City E_Type A_2023-06-19
17,Factory 2_City A_Type C_2023-06-20
18,Factory 2_City A_Type C_2023-06-21
5,Factory 2_City B_Type A_2023-06-22
6,Factory 2_City C_Type A_2023-06-23
14,Factory 2_City E_Type B_2023-06-24
10,Factory 2_City C_Type A_2023-06-25
19,Factory 2_City C_Type A_2023-06-26
6,Factory 2_City C_Type A_2023-06-27
12,Factory 2_City D_Type A_2023-06-28
6,Factory 2_City E_Type B_2023-06-29
17,Factory 2_City B_Type C_2023-06-30
13,Factory 2_City B_Type B_2023-07-01
17,Factory 2_City D_Type B_2023-07-02
19,Factory 2_City A_Type A_2023-07-03
12,Factory 2_City A_Type A_2023-07-04
17,Factory 2_City E_Type C_2023-07-05
7,Factory 2_City B_Type B_2023-07-06
10,Factory 2_City D_Type A_2023-07-07
9,Factory 2_City A_Type C_2023-07-08
6,Factory 2_City B_Type C_2023-07-09
6,Factory 2_City B_Type A_2023-07-10
7,Factory 2_City E_Type C_2023-07-11
19,Factory 2_City B_Type C_2023-07-12
13,Factory 2_City C_Type A_2023-07-13
5,Factory 2_City C_Type C_2023-07-14
15,Factory 2_City E_Type B_2023-07-15
10,Factory 2_City C_Type B_2023-07-16
18,Factory 2_City B_Type B_2023-07-17
9,Factory 2_City C_Type A_2023-07-18
8,Factory 2_City B_Type C_2023-07-19
11,Factory 2_City A_Type B_2023-07-20
17,Factory 2_City C_Type A_2023-07-21
11,Factory 2_City E_Type B_2023-07-22
16,Factory 2_City A_Type C_2023-07-23
6,Factory 2_City B_Type C_2023-07-24
13,Factory 2_City A_Type B_2023-07-25
14,Factory 2_City B_Type C_2023-07-26
15,Factory 2_City D_Type C_2023-07-27
17,Factory 2_City C_Type B_2023-07-28
10,Factory 2_City C_Type A_2023-07-29
11,Factory 2_City C_Type C_2023-07-30
10,Factory 2_City B_Type A_2023-07-31
18,Factory 2_City B_Type B_2023-08-01
15,Factory 2_City B_Type C_2023-08-02
19,Factory 2_City A_Type C_2023-08-03
11,Factory 2_City E_Type A_2023-08-04
17,Factory 2_City B_Type C_2023-08-05
17,Factory 2_City D_Type A_2023-08-06
9,Factory 2_City C_Type C_2023-08-07
9,Factory 2_City B_Type B_2023-08-08
6,Factory 2_City A_Type C_2023-08-09
9,Factory 2_City D_Type B_2023-08-10
18,Factory 2_City B_Type A_2023-08-11
8,Factory 2_City A_Type A_2023-08-12
19,Factory 2_City A_Type C_2023-08-13
14,Factory 2_City C_Type A_2023-08-14
8,Factory 2_City D_Type A_2023-08-15
16,Factory 2_City B_Type C_2023-08-16
15,Factory 2_City A_Type A_2023-08-17
9,Factory 2_City B_Type A_2023-08-18
19,Factory 2_City D_Type B_2023-08-19
16,Factory 2_City D_Type A_2023-08-20
16,Factory 2_City D_Type B_2023-08-21
9,Factory 2_City B_Type B_2023-08-22
11,Factory 2_City C_Type B_2023-08-23
12,Factory 2_City D_Type A_2023-08-24
8,Factory 2_City B_Type B_2023-08-25
10,Factory 2_City A_Type B_2023-08-26
14,Factory 2_City E_Type C_2023-08-27
10,Factory 2_City E_Type B_2023-08-28
5,Factory 2_City C_Type C_2023-08-29
5,Factory 2_City E_Type A_2023-08-30
14,Factory 2_City C_Type B_2023-08-31
11,Factory 2_City B_Type A_2023-09-01
16,Factory 2_City C_Type B_2023-09-02
5,Factory 2_City A_Type C_2023-09-03
7,Factory 2_City D_Type A_2023-09-04
19,Factory 2_City E_Type C_2023-09-05
12,Factory 2_City E_Type C_2023-09-06
6,Factory 2_City E_Type C_2023-09-07
19,Factory 2_City E_Type C_2023-09-08
13,Factory 2_City A_Type B_2023-09-09
5,Factory 2_City A_Type A_2023-09-10
16,Factory 2_City D_Type C_2023-09-11
19,Factory 2_City A_Type B_2023-09-12
15,Factory 2_City E_Type C_2023-09-13
11,Factory 2_City A_Type A_2023-09-14
9,Factory 2_City C_Type A_2023-09-15
16,Factory 2_City C_Type B_2023-09-16
6,Factory 2_City B_Type B_2023-09-17
13,Factory 2_City E_Type C_2023-09-18
8,Factory 2_City A_Type A_2023-09-19
8,Factory 2_City A_Type A_2023-09-20
13,Factory 2_City C_Type B_2023-09-21
6,Factory 2_City A_Type C_2023-09-22
17,Factory 2_City E_Type C_2023-09-23
15,Factory 2_City D_Type B_2023-09-24
7,Factory 2_City A_Type B_2023-09-25
7,Factory 2_City D_Type B_2023-09-26
14,Factory 2_City D_Type B_2023-09-27
